"Note","Course","Module","Clip","Time in Clip","URL"
"In it's core Git is a map. ","How Git Works","Git Is Not What You Think","Values and Hashes","0:07","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=7&noteid=58e5d66f-8c69-4efa-962a-d01616c1b82a"
"Value <=> Key","How Git Works","Git Is Not What You Think","Values and Hashes","1:37","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=97&noteid=ba3e41ee-8363-4780-8522-ff28d5d6a5eb"
"Value could be any content (bits of data)","How Git Works","Git Is Not What You Think","Values and Hashes","1:37","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=97&noteid=7a8eca50-4227-4d96-a586-eca800303a3f"
"Git generates key using SHA1","How Git Works","Git Is Not What You Think","Values and Hashes","1:37","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=97&noteid=8435fc0c-6432-46c8-a459-f0d9806cb52c"
"key is a hash","How Git Works","Git Is Not What You Think","Values and Hashes","3:10","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=190&noteid=b2e15af9-a729-400b-a68f-c525f1b5b703"
"sha1 hash is super unique","How Git Works","Git Is Not What You Think","Values and Hashes","6:57","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=417&noteid=ba56dee4-ef5a-4203-a965-6c1db0c61a6e"
"and never repeat","How Git Works","Git Is Not What You Think","Values and Hashes","7:22","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=4&mode=live&start=442&noteid=2a29280e-7006-4e12-81c1-e2cdb801bb5f"
"git takes any peace of content (value), generates hash for it (key), and stores is .git file as a blob (peace of content)","How Git Works","Git Is Not What You Think","First Commit!","4:55","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=6&mode=live&start=295&noteid=803057a0-1496-458a-9f13-3dde4086334e"
"when we make a commit it stored in git as a metadata (text) about the commit. It included author, date, message and a tree hash. Tree hash is a pointer to another folder in .git file. In there in saves another peace of data about the files and trees of other folders.","How Git Works","Git Is Not What You Think","First Commit!","5:35","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=6&mode=live&start=335&noteid=c8ad6536-a5c6-4d12-9c7f-dcb35688f945"
"blob is peace of data
tree is a hash to another data","How Git Works","Git Is Not What You Think","First Commit!","7:30","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=6&mode=live&start=450&noteid=d6595548-5420-4ead-8c21-ac0f6b35ecc4"
"when we change just one file and commit the change, git will see which file changed and generate a new hash to a change file but will keep the hash of a tree of the part that didn't change. So it reuses the same hashes and trees for unchanged data. Git is very efficient this way. It never stores data more than once. Just points to a already stored data.","How Git Works","Git Is Not What You Think","Versioning Made Easy","4:00","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m1&clip=7&mode=live&start=240&noteid=45edb7de-a64e-4057-8775-9d4025f75337"
" So Git model is nothing more than a file system that maps commits, trees, blobs, and tags objects.","How Git Works","Branches Demystified","Introduction","0:18","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=0&mode=live&start=18&noteid=14c98053-83cb-4d73-8b6e-290189b9ffb9"
"Branch is just a reference to a commit.","How Git Works","Branches Demystified","What Branches Really Are","1:53","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=1&mode=live&start=113&noteid=6a7cc04c-b493-46ef-90a3-a856a15da13f"
"Branches are stored in refs/heads folder, branch file has a hash to a commit. ","How Git Works","Branches Demystified","What Branches Really Are","4:01","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=1&mode=live&start=241&noteid=5aefc413-52ec-4ea1-8906-53bca2eddebf"
"Git knows which branch we are on at everytime by storing reference to a specific branch in HEAD file in .git folder","How Git Works","Branches Demystified","The Mechanics of the Current Branch","0:57","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=2&mode=live&start=57&noteid=30a2e4a9-1ecd-4662-b8f8-6655bc673748"
" When switching branches, git moves the HEAD to point to another branch (last commit in that branch). Then it changes files in our working directory to files from that commit","How Git Works","Branches Demystified","The Mechanics of the Current Branch","4:55","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=2&mode=live&start=295&noteid=f7f54e0f-8316-42d0-b959-8c684791719a"
"when merging branches, the merge is just a commit that has two parents from merged commits. After merge git moves the HEAD to point to that merged commit (branch)","How Git Works","Branches Demystified","Let's Merge!","3:23","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=3&mode=live&start=203&noteid=a5d0ce3c-e7b1-4c05-b2fd-06e1787a853b"
"When we try to merge commits that git already has merges and commits, git will do fast-forward to simply point branch to latest commit that has all the data needed for your merge. So git is very efficient to reuse the stored data.","How Git Works","Branches Demystified","Merging Without Merging","2:42","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=5&mode=live&start=162&noteid=0cc48035-93f5-454b-8377-d99d29186000"
"Detached HEAD means when we point HEAD to a commit (git switch 9786976), then HEAD doesn't point to any branchs.","How Git Works","Branches Demystified","Losing Your HEAD","1:25","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=6&mode=live&start=85&noteid=c642d87f-cdf1-4b47-a5a4-b3136a82d0a9"
"We can commit to a detached head, when we done and point head back to our branch, those commits from detached head become unreachable over time, git will use garbage collector to remove them completely to save the space, it's efficient.","How Git Works","Branches Demystified","Losing Your HEAD","4:12","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=6&mode=live&start=252&noteid=ed3c5bf7-3b81-47ae-8581-e98a843e1bcb"
